hud_id,project_name,project_address,project_city,project_state,project_zip,total_units,low_income_units,studio_units,one_bedroom_units,two_bedroom_units,three_bedroom_units,four_bedroom_units,year_placed_in_service,year_allocated,project_type_code,nonprofit_code,latitude,longitude,geocode_precision_code,cbsa_code,cbsa_name,data_quality_flags,source_url,retrieved_utc
MAB20200006,BURBANK APTS,31 BURBANK STREET,BOSTON,MA,02115,52,39,28,22,2,0,0,2020,2020,2,2,42.344479,-71.087577,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20120035,CASTLE SQUARE II,494 TREMONT ST,BOSTON,MA,02116,500,500,0,144,159,132,65,2012,2010,2,2,42.345220999999995,-71.06962,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB00000253,DARTMOUTH TCB,792 TREMONT ST,BOSTON,MA,02118,83,83,4,16,40,18,5,8888,8888,,,42.338716999999995,-71.08095,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",YR_PIS_OUT_OF_EXPECTED_RANGE,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20080050,DUDLEY VILLAGE SOUTH,571 DUDLEY ST,BOSTON,MA,02125,26,26,0,3,10,10,3,2008,2006,1,1,42.320786999999996,-71.07221899999999,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20151006,GEORGETOWN HOMES PHASE ONE,"11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41 GEORGETOWN DRIVE",BOSTON,MA,01570,,,,,,,,2015,2016,2,2,42.258866,-71.14954399999999,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",LI_UNITS_MISSING,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAA19950005,HERITAGE AT CLEVELAND CIRCLE,50 SUTHERLAND RD,BOSTON,MA,02135,90,18,25,65,0,0,0,1995,1993,1,2,42.337748999999995,-71.15002799999999,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20110110,JAMAICA PLAIN APTS,48 SCHOOL ST,BOSTON,MA,02108,103,103,0,9,20,53,21,2011,2009,2,1,42.357637,-71.05985199999999,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB19940100,PROJECT HOME,1688 WASHINGTON ST,BOSTON,MA,02118,3,3,,,,,,1994,1992,,,42.337106,-71.075808,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20040065,ROBERT L FORTES HOUSE,541 SHAWMUT AVE,BOSTON,MA,02118,44,44,0,44,0,0,0,2004,2003,2,1,42.337171999999995,-71.078621,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20040070,ROXBURY TENANTS,44 FRANCIS ST,BOSTON,MA,02115,20,13,0,0,5,15,0,2004,2002,2,1,42.335521,-71.106662,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20191007,THE CLARION,295-311 BLUE HILL AVENUE,BOSTON,MA,02121,63,61,0,0,22,25,16,2019,2020,2,1,42.314327999999996,-71.079239,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20040075,THE METROPOLITAN,1 NASSAU ST,BOSTON,MA,02111,81,81,35,6,30,10,0,2004,2004,1,2,42.348689,-71.063189,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
MAB20172003,WAYNE AT BICKNELL,92-94 ESMOND STREET,BOSTON,MA,02121,72,72,0,15,32,21,4,2017,2019,2,2,42.297140999999996,-71.08348099999999,R,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/LIHTC/FeatureServer/0,2026-07-18T18:21:49Z
