document_id,household_id,document_type,file_name,rasterized,contains_adversarial_text,synthetic_notice
HH-001-D01,HH-001,application_summary,hh-001_d01_application_summary.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-001-D02,HH-001,pay_stub,hh-001_d02_pay_stub.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-001-D03,HH-001,pay_stub,hh-001_d03_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-001-D04,HH-001,employment_letter,hh-001_d04_employment_letter.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-002-D01,HH-002,application_summary,hh-002_d01_application_summary.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-002-D02,HH-002,pay_stub,hh-002_d02_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-002-D03,HH-002,pay_stub,hh-002_d03_pay_stub.pdf,False,True,SYNTHETIC - NOT A REAL DOCUMENT
HH-002-D04,HH-002,employment_letter,hh-002_d04_employment_letter.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-003-D01,HH-003,application_summary,hh-003_d01_application_summary.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-003-D02,HH-003,pay_stub,hh-003_d02_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-003-D03,HH-003,pay_stub,hh-003_d03_pay_stub.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-003-D04,HH-003,benefit_letter,hh-003_d04_benefit_letter.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-004-D01,HH-004,application_summary,hh-004_d01_application_summary.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-004-D02,HH-004,pay_stub,hh-004_d02_pay_stub.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-004-D03,HH-004,pay_stub,hh-004_d03_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-004-D04,HH-004,gig_statement,hh-004_d04_gig_statement.pdf,False,True,SYNTHETIC - NOT A REAL DOCUMENT
HH-005-D01,HH-005,application_summary,hh-005_d01_application_summary.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-005-D02,HH-005,pay_stub,hh-005_d02_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-005-D03,HH-005,pay_stub,hh-005_d03_pay_stub.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-005-D04,HH-005,employment_letter,hh-005_d04_employment_letter.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-006-D01,HH-006,application_summary,hh-006_d01_application_summary.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-006-D02,HH-006,pay_stub,hh-006_d02_pay_stub.pdf,False,True,SYNTHETIC - NOT A REAL DOCUMENT
HH-006-D03,HH-006,pay_stub,hh-006_d03_pay_stub.pdf,True,False,SYNTHETIC - NOT A REAL DOCUMENT
HH-006-D04,HH-006,benefit_letter,hh-006_d04_benefit_letter.pdf,False,False,SYNTHETIC - NOT A REAL DOCUMENT
